Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2025-05-22,2593.67,2,-31.91,-1.22,2614.66,2616.53,2588.09,358064259,8965468020130,2126011918881695.2
2025-05-23,2592.09,2,-1.58,-0.06,2603.57,2604.14,2589.51,434024136,8659673623776,2124299597613703.2
2025-05-26,2644.4,1,52.31,2.02,2598.45,2644.4,2595.96,380173138,8342809610327,2166285731881608.0
2025-05-27,2637.22,2,-7.18,-0.27,2630.29,2642.63,2625.66,318285651,7908808324037,2160239944298804.0
2025-05-28,2670.15,1,32.93,1.25,2648.86,2692.47,2643.5,405473857,11238813826664,2188074979266972.0
2025-05-29,2720.64,1,50.49,1.89,2691.06,2720.64,2686.64,448340888,10895570257616,2229208577577636.0
2025-05-30,2697.67,2,-22.97,-0.84,2713.24,2717.54,2689.87,525661026,14803606217765,2210646190920267.2
2025-06-02,2698.97,1,1.3,0.05,2692.91,2719.87,2685.14,323603809,8062944006492,2211661469940351.2
2025-06-04,2770.84,1,71.87,2.66,2737.92,2771.03,2734.02,489937474,12106350015702,2270569997770892.0
2025-06-05,2812.05,1,41.21,1.49,2790.33,2831.11,2787.76,556013446,13293000248477,2302942060259452.0
2025-06-09,2855.77,1,43.72,1.55,2841.56,2867.27,2841.39,537617180,14030330524110,2337790728639509.0
2025-06-10,2871.85,1,16.08,0.56,2872.62,2885.67,2849.67,508184663,14289817957640,2350164580015300.0
2025-06-11,2907.04,1,35.19,1.23,2887.32,2908.16,2879.92,393929540,12475002592550,2378921384948741.0
2025-06-12,2920.03,1,12.99,0.45,2909.99,2934.31,2909.99,713705710,17344655814990,2389048717129180.0
2025-06-13,2894.62,2,-25.41,-0.87,2930.57,2932.38,2877.07,931657602,17462763974297,2369323120142404.0
2025-06-16,2946.66,1,52.04,1.8,2903.5,2947.07,2886.13,726351750,14401114308029,2410638877644740.0
2025-06-17,2950.3,1,3.64,0.12,2959.93,2998.62,2925.79,939594106,17915934818024,2414138075097102.0
2025-06-18,2972.19,1,21.89,0.74,2933.63,2979.32,2933.63,576548034,14668323378767,2432540489952913.0
2025-06-19,2977.74,1,5.55,0.19,2989.56,2996.04,2954.47,433310535,13786565754695,2436368787253298.0
2025-06-20,3021.84,1,44.1,1.48,2986.52,3022.06,2972.37,484864681,17974844407806,2471814406598870.0
2025-06-23,3014.47,2,-7.37,-0.24,2992.2,3019.81,2971.36,625650915,17879769854238,2465283335804106.0
2025-06-24,3103.64,1,89.17,2.96,3061.14,3105.04,3061.14,579200567,19107339943731,2538235150827130.0
2025-06-25,3108.25,1,4.61,0.15,3127.79,3129.09,3084.86,644761399,19662628183278,2543092930441839.0
2025-06-26,3079.56,2,-28.69,-0.92,3108.34,3113.03,3036.55,460611798,17030574191361,2519593951599544.0
2025-06-27,3055.94,2,-23.62,-0.77,3077.87,3093.56,3041.85,381633939,13970283384996,2500663765269373.0
2025-06-30,3071.7,1,15.76,0.52,3072.75,3086.0,3063.42,464162919,13333814294163,2512091649124343.0
2025-07-01,3089.65,1,17.95,0.58,3089.64,3133.52,3088.45,576016844,15184804010768,2527488234089640.0
2025-07-02,3075.06,2,-14.59,-0.47,3083.82,3090.61,3032.47,696798456,14829869598196,2516192194451781.0
2025-07-03,3116.27,1,41.21,1.34,3100.33,3116.27,3085.98,539120202,14883213548329,2551106276337041.0
2025-07-04,3054.28,2,-61.99,-1.99,3122.28,3123.84,3052.91,520763440,13571164280163,2501091815119605.0
2025-07-07,3059.47,1,5.19,0.17,3044.78,3068.43,3032.99,359404588,10204542570975,2504046206230287.0
2025-07-08,3114.95,1,55.48,1.81,3071.74,3115.86,3066.03,745793067,13491404979089,2548966093022255.0
2025-07-09,3133.74,1,18.79,0.6,3123.22,3137.17,3111.02,642960883,12654909764711,2563422971103981.0
2025-07-10,3183.23,1,49.49,1.58,3144.14,3183.23,3133.81,596571574,14124821031009,2603739245288003.0
2025-07-11,3175.77,2,-7.46,-0.23,3186.35,3216.69,3170.46,465292057,13342066116082,2598982928438423.0
2025-07-14,3202.03,1,26.26,0.83,3175.59,3202.06,3170.72,444035800,11565586285784,2620057063000663.0
2025-07-15,3215.28,1,13.25,0.41,3194.82,3216.01,3183.83,419651712,12238772420133,2631087507465974.0
2025-07-16,3186.38,2,-28.9,-0.9,3207.48,3209.2,3178.42,531498719,11328776416006,2608342484105158.0
2025-07-17,3192.29,1,5.91,0.19,3201.42,3201.42,3152.42,424787619,15365406027980,2613900035981381.0
2025-07-18,3188.07,2,-4.22,-0.13,3200.44,3204.75,3169.69,393449261,11939229667870,2610008447251791.0
2025-07-21,3210.81,1,22.74,0.71,3191.11,3211.14,3188.87,343910781,10662279408140,2632829588919004.0
2025-07-22,3169.94,2,-40.87,-1.27,3210.12,3220.27,3155.25,378485911,11604659217066,2599056209995773.0
2025-07-23,3183.77,1,13.83,0.44,3189.65,3199.86,3141.93,664826146,12201364684336,2610788646131533.0
2025-07-24,3190.45,1,6.68,0.21,3209.43,3237.97,3183.05,425499879,12993187344837,2615776094044113.0
2025-07-25,3196.05,1,5.6,0.18,3184.37,3205.82,3184.37,389290718,9822238040874,2621558325609622.0
2025-07-28,3209.52,1,13.47,0.42,3228.61,3228.61,3180.18,502719579,13872945078805,2634028944917939.0
2025-07-29,3230.57,1,21.05,0.66,3192.17,3232.31,3169.03,373203172,12769212511711,2651327886580283.0
2025-07-30,3254.47,1,23.9,0.74,3233.31,3269.4,3227.28,338073688,12968500091756,2671786675912336.0
2025-07-31,3245.44,2,-9.03,-0.28,3275.78,3288.26,3227.46,540323825,16455571940540,2662743380814128.0
2025-08-01,3119.41,2,-126.03,-3.88,3210.32,3210.32,3117.92,507776245,15281248640166,2563576815036689.0
2025-08-04,3147.75,1,28.34,0.91,3114.27,3157.45,3105.63,293453733,9724691307255,2587242951270715.0
2025-08-05,3198.0,1,50.25,1.6,3187.15,3212.31,3174.23,273439606,10950201163619,2627767157184861.0
2025-08-06,3198.14,1,0.14,0.0,3182.06,3200.15,3176.61,327358365,11128301636396,2627785497278353.0
